                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2819,                0.75913,                 1.1547,                0.84491,                0.80673,                0.85369,                 0.5699,                 1.0448,                0.49609,                 1.0981,                0.00307,                0.00307,                0.00307
                     37,                 1.2738,                0.75322,                  1.149,                0.86436,                0.79929,                0.85997,                0.57517,                 1.0441,                0.49841,                 1.0997,               0.002872,               0.002872,               0.002872
                     38,                 1.2721,                0.74644,                  1.147,                0.85507,                0.80453,                0.85525,                0.57375,                 1.0396,                0.49465,                 1.0938,               0.002674,               0.002674,               0.002674
                     39,                 1.2634,                0.74265,                 1.1434,                0.85723,                0.80532,                0.84928,                0.57179,                 1.0375,                0.49401,                 1.0919,               0.002476,               0.002476,               0.002476
                     40,                 1.2532,                0.73266,                 1.1376,                0.86876,                0.79731,                0.85324,                0.57501,                 1.0379,                0.48894,                 1.0918,               0.002278,               0.002278,               0.002278
                     41,                 1.2506,                 0.6537,                 1.1489,                0.85448,                 0.8024,                0.85235,                 0.5723,                 1.0355,                0.48978,                 1.0917,                0.00208,                0.00208,                0.00208
                     42,                 1.2331,                0.64016,                  1.141,                0.86753,                0.78945,                0.85039,                0.57556,                 1.0275,                0.48466,                 1.0921,               0.001882,               0.001882,               0.001882
                     43,                 1.2243,                0.63027,                  1.137,                0.86778,                0.79551,                0.85355,                0.58091,                 1.0238,                0.48356,                 1.0894,               0.001684,               0.001684,               0.001684
                     44,                 1.2169,                0.62357,                 1.1304,                0.86214,                0.80055,                0.85206,                0.58208,                 1.0195,                0.47777,                 1.0884,               0.001486,               0.001486,               0.001486
                     45,                 1.2114,                0.61418,                  1.124,                0.84168,                0.83027,                0.85287,                0.58605,                 1.0156,                0.47458,                 1.0868,               0.001288,               0.001288,               0.001288
                     46,                 1.1971,                0.60595,                 1.1242,                 0.8501,                 0.8319,                0.85529,                0.58909,                 1.0146,                0.47255,                 1.0859,                0.00109,                0.00109,                0.00109
                     47,                  1.195,                0.60117,                 1.1154,                 0.8662,                0.80011,                0.85004,                0.58552,                 1.0126,                0.47067,                  1.084,               0.000892,               0.000892,               0.000892
                     48,                 1.1884,                0.59471,                 1.1135,                 0.8681,                0.80864,                0.84888,                0.58613,                 1.0111,                 0.4698,                 1.0826,               0.000694,               0.000694,               0.000694
                     49,                 1.1756,                0.58642,                 1.1085,                0.85515,                0.81079,                0.85242,                0.58677,                 1.0094,                0.46778,                 1.0826,               0.000496,               0.000496,               0.000496
                     50,                 1.1716,                0.57899,                  1.103,                 0.8507,                0.82001,                0.85235,                0.58595,                 1.0096,                 0.4662,                 1.0825,               0.000298,               0.000298,               0.000298
