dataset_dir;dataset_link
On_the_road;https://universe.roboflow.com/ds/t1m4isoLF8?key=YlAGG2xDOF
Mobility;https://universe.roboflow.com/ds/ISQaXTlRA2?key=jtoz25rs0D
MobilityDetection;https://universe.roboflow.com/ds/IHrBE44AaY?key=tYFcuHG6on
Suitcase;https://universe.roboflow.com/ds/Q9kkJcg8hc?key=CpWKUmTeLA
BikeOnly;https://universe.roboflow.com/ds/lCvQ2sD760?key=Um6jwR6qtC
BicycleSet;https://universe.roboflow.com/ds/fHQxmlOes0?key=kx2SXxmU31
ElectricScooter;https://universe.roboflow.com/ds/TuggV2iYdv?key=9ePVtrZxxD
ElectricScooter2;https://universe.roboflow.com/ds/mQ5LLaHreV?key=rSJO0g2HQi
